;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
kyua 诳 頯 尯 誑
kz 跨
kza 貇
kzaa 巜
kzau 乫
kze 跬
kzea 乬 蹞
kzee 趶
kzei 牁 跍
kzeu 舿
kzo 躨
kzu 趷
l 了
la 力
laa 驴
laae 纶
lae 履
lai 陋
laie 陇
lao 戮
lb 兰
lba 疗
lbaa 鬣
lbae 卢 齂 瘺
lbai 癃
lbao 賿
lbe 赖
lbea 疠
lbei 癞 痨 瘌 鬎 痳 癅 賴 癩 癘
lbeo 赉 癗
lbeu 疬 癧 賚 療
lbi 瘰
lbia 瘻 癳
lbo 瘘
lboe 癛 贚 癴 癵
lbou 鬑 癆
lbu 瘤
lbua 赂 尦 賂
lbue 痢 鬁
lbui 赁 瘣 皪 鬛 賃
lbuo 谾 豂 皊
lc 落
lca 历
lcaa 蠡 蠟
lcae 律 菉
lcai 蕯
lcao 蓼 蟉
lcau 荔 艻 茘 蛠
lce 厉
lcea 莲
lcei 辆 菱 蜡 菈 蝲 藾 荖 蛯 蒚 厯 暦 歴 蠇 萰 蜽 輌 菻 轥 輘 衖 藍 厲 蓮 輛
lceo 莱 蕾 徕 蕶 蘦 虂
lceu 蛎 茏 苈 藞 轑 轣 蟟 茢 蛚 徠 萊 藶 蠣
lci 蓝
lcia 萝 螺 厘 蔂 蘲 轠 虆 蕌 藟 蠝 蘽 荲 蕗 蘭 藺 蔞 螻 蘿
lcie 轳 蠦 蓾 藘 蘆 轤
lco 芦
lcoa 螂 莨 蓈 蜋 蓢 蜧
lcoe 辘 蠊 蠃 蓠 苙 薕 辌 蓤 蠬 徿 蔍 螰 虊 蝷 蘺 輬 蘢 轆
lcoi 蔺
lcoo 蒗 蘫 蝋 蔆 蓅 藔 蒞
lcou 辚 蝼 蒌 蟧 蘱 螊 轔
lcu 轮
lcua 辂 轹 蛒 葻 蒥 藰 菕 輅
lcue 莉 藜 蜊 薐 菞 蔾 蟍 厤 磿
lcui 莅 轢
lcuo 龄 苓 蛉 蔹 蛶 厱 蘝 彾 衑 軨 蜦 薍 莶 蘞 齡 輪 薟
lcuu 蚸 葎 蓏
ld 冷
lda 漏
ldaa 淥
ldae 渌 郒
ldai 泐 漋
ldao 漻
ldau 氻 刕
lde 凌
ldea 涟
ldee 洡 剺
ldei 淋 涝 濑 溧 漤 溂 瀬 灆 灡 灠 凓 湅 瀶 澑 淕 澫 瀨 濫 漣 奩 淩
ldeo 涞 澪 瀮
ldeu 鹿 冽 沥 潦 泷 奁 洌 濿 淶 瀝
ldi 列
ldia 泪 澧 潞 漯 灅 浬 豊 瀾 漊
ldie 滤 泸 滷 瀘 濾
ldii 滥 剅
ldo 流
ldoa 浪 涙 淚
ldoe 凉 凛 漓 浏 漉 濂 滦 灕 濓 湸 澟 奱 滝 涼 凜 瀧 灤
ldoi 澜
ldoo 浨 浶
ldou 溓 潾 溇 澇
ldu 洛
ldua 溜 泺 湰 澛 瀂 瀏
ldue 剓 浰
ldui 涖 溣 濼
lduo 沦 殓 泠 潋 沴 澰 浖 殮 瀲 淪
lduu 沠
le 来
lea 辆
lee 玲
leei 珑
lei 栏
leia 剌
leie 拎
leii 蕾
leiu 榴
leo 霖
leoa 雳
leu 聋
leua 垄
leui 厘
lf 拉
lfa 攭
lfaa 擸
lfao 摎 飂
lfau 搚 扐
lfe 拢
lfei 捞 揦 攋 搮 攦 摙 掚 掕 飅 攬
lfeo 擂
lfeu 撩 攊 飉 挒 颲
lfi 揽
lfia 撂 摞 罍 攂 捛 攞 攔 摟
lfie 掳 攎 罏 擄 攄
lfiu 挘
lfo 拦
lfoa 捩
lfoe 掠 攡 旈 挔 摝 攏
lfou 搂 撛 撈
lfu 旅
lfua 撸 飗 飀 擼
lfue 旒 膐
lfui 擽
lfuo 抡 拎 捋 掄
lg 良
lga 勒
lgao 廖 寥 戮 髎 巯
lge 寮
lgei 魉 鞡 韊 廲 魎
lgeu 庲 瓥
lgi 髗
lgia 廔 鞻 髏
lgie 廬
lgo 廉
lgoa 廊 庐
lgoe 廪 廘 廩
lgou 髅
lgu 牢
lgua 廫 廇
lgui 鵖
lh 两
lha 虏
lhaa 爉 巰
lhao 熮 穋
lhe 炼
lhee 耒
lhei 爦 爁 爤 稜 穲 稑 煉
lheo 燯 爧
lheu 戾 燎 爄 爏 烮
lhi 丽
lhia 吏 稆 鬲 燗 両 熡 焒 爛 兩 盧 虜 慮
lhie 耂 黸 爈 爐
lho 虑
lhoa 炉 稂 虙 烺
lhoe 燷 燣 燫 煷 爖 熝 稤
lhoo 爎 炓
lhou 烂 熑 稴 燐
lhu 龙
lhua 烙 熘 穞 穭
lhue 黧 秝
lhuo 秢 炩 稐 來
li 里
lia 咙
liae 蜡
liai 嶙
lie 卢
lj 练
lja 绿
ljaa 镴 鑞 綠
ljae 幱 觮 録 緑 錄
ljai 钌 釕
ljao 镠 鏐
lje 链
ljea  臠
ljee 銇 覝
ljei 绫 铑 铹 綝 繿 钄 覧 縺 錬 鍊 緉 錂 鐂 鏧 錴 纚 覽 纜 銠 練 鏈 綾
ljeo 镭 铼 鐳
ljeu 缭 镣 覼 錸 繚 鐐
lji 览
ljia 锣 铝 锂 缧 镙 鑘 纝 鑸 鏴 絽 纙 鑭 縲 鋰 鏤 鋁 縷 鏍 鑼
ljie 纑 鑪 鏀 鐪 鑢
ljii 缆
ljo 缕
ljoa 锒 鎯 錑 綟 鈩 鋃
ljoe 镰 銮 缡 锍 鉝 纞 綡 鍄 鑨 鏕 繂 縭 鐮 鋶 鑾
ljoi 镧
ljoo 鎏
ljou 镂 鎌 斴 繗 鏻 鐒
lju 络
ljua 绺 镏 镥 铆 覙 鎦 綹 鑥 絡 鉚
ljue 鋫 錅 鏫 鑗
ljui 觻
ljuo 铃 纶 锊 紷 鋢 錀 覶 鈴 鋝 綸
lk 另
lka 叻
lke 啦
lkee 囒 哢
lkei 喇 唠 嘞 啉 嚂 咾 囇 嗹 唡 啢 臨
lkeu 咧 咙 嘹 呖 喱 唻 匲 嚦
lki 吕
lkia 哩 啰 呬 嘍 囉
lkie 咔 嚧
lko 喽
lkoa 啷 唳 哴
lkoe 唥 囄 喨 圝 圞 嚨
lkoo 哰
lkou 噒 嘮
lku 噜
lkua 咯 嚠 嚕
lkue 嚹 唎 嚟 囖
lkui 呂
lkuo 囹 囵 呤 匳 哷 圙 圇
ll 连
lla 辽
llaa 邋 劙 煭
llae 逯
llao 憀 剹 勠
llau 忉 忇
lle 烈
llee 釐 龒 驡 礱 聾 壟
llei 劳 懒 聋 剌 垄 麓 逦 迣 攱 懢 恅 耢 慄 麜 慩 惏 蠪 勎 憟 怔 懶 邐 麗 連
lleo 麢 龗
lleu 励 砻 勑 逨 頛 竰 憭 劽 迾 龓 勵 遼
lli 愣
llia 逻 悝 嗧 慺 遱 龍 耬 邏
llie 勴
llo 麟
lloa 勆 悢 悷 剆
lloe 懔 劆 麐 悋 麍 懍
lloo 〇
llou 遴 耧 憦 勞 耮 憐
llu 怜
llua 遛 亷 懰 劉
llue 邌 悧
llui 鴗 鸗
lluo 恡 刢 竛 鹷 豅 惀 耣
lm 林
lma 李
lmaa 盠 欚 盭
lmae 棂 椂 盝 睩 粶 騄
lmau 娄 朸 栛
lme 类
lmea 梿
lmee 氂 桺 梇 隸
lmei 棱 阑 骊 楝 栳 楋 櫴 欗 糷 粩 睖 欐 櫣 槤 橊 驑 騹 闌 欖 驪
lmeo 睐 檑 梾 櫺 欞
lmeu 栊 枥 粝 騋 麳 橑 矋 頪 糎 栵 櫔 瞭 駵 眬 棶 睞 櫪 糲
lmi 楞
lmia 骡 闾 椤 樏 櫑 欙 櫐 粴 瞜 氀 梠 梩 欄 糧 樓 閭 櫚 騾 欏
lmie 栌 矑 樐 櫖 櫨 驢
lmii 榄
lmiu 毟
lmo 料
lmoa 粮 驴 榔 阆 桹 駺 樃 棙 睙 枦 馿 閬
lmoe 粒 栾 檩 椋 柆 樆 槞 樚 騼 驘 檁 櫳 矓 欒
lmoi 榈
lmoo 梁 粱 樑
lmou 楼 栏 瞵 橯 驎 焛 橉
lmu 柳
lmua 骆 榴 粼 橹 骝 栎 氇 粦 駠 栁 桞 橮 騮 櫓 氌 駱
lmue 梨 梸 棃 睝 粍
lmui 楽 檪 閵 樂 櫟
lmuo 柃 閝 駖 棆
lmuu 栃
ln 礼
lna 禄
lnaa 犣 祿
lnae 娽 鵦
lnao 鹨 嫪 鷚
lnau 鳨
lne 姥
lnea 裢
lnee 嫠 犛
lnei 婪 鹂 荦 娕 鵣 襰 襽 嬾 孏 孋 婯 鷅 媡 裲 婈 祾 裬 鵱 襤 鸝 褳
lneu 鹩 婡 鶆 歷 犡 禲 嫽 姴 鴷 鷯
lni 裸
lnia 鹭 娌 嫘 祼 孄 鸓 鷜 襴 裡 禮 婁 鷺 褸
lnie 鸬 鸕
lnii 褴
lno 鸾
lnoa 嫏
lnoe 娈 褵 嬚 裗 襱 鵉 鸁 孌 鸞
lnoi 襕
lnou 褛 禷 嫾 齢 犖
lnu 犁
lnua 袼 媹 鹠 嬼 鴼 鵅 鶹
lnue 鷑 犂 鵹 娳 祣 牦
lnui 鷎
lnuo 裣 姈 鸰 袊 婨 襝 鴒
lo 立
loa 朗
loe 凛
loee 冽
loei 挛
loeu 庐
loi 阑
loo 懒
looa 寥
looe 漓
lou 燎
loue 粼
lp 笼
lpa 卵
lpae 箓
lpau 角 竻
lpe 籁
lpee 筙
lpei 篥 篢 簕 箖 簵 籟 籃
lpeu 箂 簝
lpi 篮
lpia 箩 籣 簬 簍 籮
lpie 籚
lpo 笠
lpoa 筤 簶
lpoe 篱 簏 篭 籬 簾 籠
lpoo 簗
lpou 篓 簩
lpu 籢
lpua 笿
lpue 筣
lpuo 籨 笭 籙
lpuu 箻
lq 量
lqa 氯
lqaa 獵
lqe 猎
lqei 狫 晽
lqeu 獠 猍 曞 暸 昽 曆
lqi 狸
lqia 靓 猡 曪 靚 玀
lqie 獹 曥
lqo 狼
lqoa 欴
lqoe 晾 曫 曨
lqoo 猟
lqou 獜 暽
lqu 旯
lque 猁
lquo 歛 狑 昤
lr 令
lra 仂
lraa 儠
lrae 侓
lrao 僇
lre 例
lrei 俩 佬 俪 傈 龣 儖 倰 僆 儷 倆 侖
lreo 俫
lreu 僚 倈 儮
lri 侣
lria 儡 俚 倮 傫 儽 儸 僂 侶
lrie 儢
lro 偻
lroa 俍
lroe 倞 儱
lrou 僗 僯
lru 伦
lrua 仑
lrue 俐
lruo 伶 倫
ls 乱
lsa 碌
lsae 峎 峍 硉
lsai 嶐
lsao 黑 磖 厽 嵺 厸 磟
lsau 屴
lse 磊
lsee 漦 硦
lsei 卤 崂 躼 揧 礷 擥 硓 碐 崊 碄 崚 屚 砢 鹵
lseo 崃 礌
lseu 砺 砳 峛 巁 礰 嶚 嶛 峢 崍 礪
lsi 临
lsia 兣 礧 鼺 磥 礨 蟸 砅 軁 磮 饠 躶 嶁 屢
lsie 硵 磠
lso 屡
lsoa 硠 躴 崀
lsoe 峦 挛 硫 砬 岦 巃 巄 礲 灓 卛 巒 攣
lsoo 屪
lsou 磷 嶙 嵝 磱 軂 磏 嶗
lsu 黎
lsua 岚 砾 馏 硌 飹 饹 嵧 磂 峈 洜 嵐 餎 餾
lsue 峲
lsui 礫
lsuo 岭 岺 砱 崘 崙 碖 嶺
lsuu 履 嵂
lt 老
lta 累
ltae 垏
ltao 垒 疁
lte 垅
ltee 隷
ltei 壏 堎 塛 堜 壣 畱 鬸 榃 奊
lteu 坜 壢
lti 垆
ltia 塄 畾 壨 羀 塿 壘
ltie 塷 壚
lto 垃
ltoa 塱 埌
ltoe 壈 塁 壠 塶
ltoo 墚
ltou 疄
ltu 留
ltua 略 畂 塯 圥 畧
ltuo 埒 埓 坽 夌 坴 埨
lu 利
lua 鲁
luae 腊
luai 鲤
lue 铝
luee 镣
lui 佬
luie 俪
luo 邻
luoe 敛
luoo 翎
luu 律
lv 脸
lva 肋
lvaa 聨 聫 聮 鱲 臘 聯
lvae 霛
lvai 霳
lvao 鄝
lvau 阞
lve 陆
lvea 鲢
lvee 鄻 霊
lvei 陵 腊 陋 霖 郦 鲡 鲮 臈 鯻 鮱 鳓 翴 鰊 脼 鯥 鰳 鱺 酈 鰱 鯪 陸
lveo 酃 鱩
lveu 胧 雳 陇 郲 鯠 鱱 膫 聗 鮤 靂
lvi 雷
lvia 露 鲁 鲤 鳢 靁 霝 孁 膢 郘 脶 鯉 鱧 靈 魯 腡
lvie 鲈 胪 臚 鱸
lviu 斄
lvo 联
lvoa 郎 朗 郞 朖 魲
lvoe 膂 臁 雴 翋 靇 膔 膟 朧 隴
lvoo 靋 霗
lvou 鳞 膦 朥 膋 隣 翷 鄰 鱗
lvu 隆
lvua 聊 朤 鰡 霤 鮥
lvue 脷 鯏 鯬
lvui 鱳
lvuo 零 邻 翎 聆 脟 朎 魿 阾 翏 陯 腀 鯩 臉
lw 理
lwa 率
lwaa 玈
lwae 琭
lwai 臝
lwau 玏 珕
lwe 琳
lwea 琏 夅
lwei 瓎 璼 珯 瑮 瑓 璢 璉
lweu 弄 珑 琜 瓑 璙 甅
lwi 亮
lwia 吝 璐 瓓 髝 瓃 琌 瓼 甊 斕 裏
lwie 敹 瓐
lwii 刘 脔
lwo 璃
lwoa 琅 瑯 斏
lwoe 琉 瓏
lwoi 斓
lwoo 瑬
lwou 璘 甐
lwu 离
lwua 珞 瑠 珋
lwue 琍 瓈
lwui 瓅
lwuo 六 玲 敛 瓴 斂
lx 乐
lxa 窿
lxao 絫
lxe 辣
lxei 栗 辢 窷
lxeu 竂 尞
lxi 录
lxia 帘 纍 畄
lxio 隶 彔
lxo 灵
lxoa 労
lxoe 恋 竉 戀
lxou 窲 憥
lxu 劣
lxua 窌 爒
lxue 窂 悡
ly 领
lya 醪
lyae 醁
lyai 韷
lyao 顟
lye 裂
lyee 诔 誄
lyei 頼 醂 謰 酾 叓 釃
lyeo 醽
lyeu 誺 顂 讈
lyi 颅
lyia 醴 譋 讄 謱 讕
lyie 顱
lyo 谅
lyoa 誏
lyoe 羸 謧 醨 譧 諒
lyoi 谰
lyou 颣 顲 類 纇
lyu 论
lyua 酪 尥 論
lyue 话 話
lyuo 羚 酹 羷 詅 頱 領
lyuu 甪
lz 路
lza 躐
lzaa 羅
lzae 趢
lzai 嗠
lzao 蹘 雡
lzau 赲
lze 躏
lzee 孷
lzei 罱 踜 蹥 踛 寽 罧 躪
lzeu 趔 蹽 镽
lzi 舻
lzia 躝 艃 貍 巤 躙 艛
lzie 艣 艫
lzii 蠫
lzo 踉
lzoa 艆 舮
lzoe 孪 詈 躘 蹗 羉 離 孿
lzoo 罹
lzou 亃 蹸
lzu 罗
lzua 雒 跞 罶 蹓 艪
lzui 躒
lzuo 舲 跉 踚 乿 亂
m 没
ma 民
maa 缈
mao 牟
mau 姆
mb 贸
mba 劰
mbao 髳
mbe 瘼
mbee 皌
mbei 痳 痲 鬕 鬗
mbeu 痝
mbi 緜
mbia 鬘
mbu 髦
mbua 皃 痻 貿
mbue 痗
mc 莫
mca 茅
mcaa 蚂 蘰 苺
mcae 苠 葞
mcai 蜢 茻 葿 蝞
mcao 蟊 蝥 蛑 荬 蓩
mce 某
mcee 茉
mcei 蟒 蟆 螨 蠓 蠛 蟇 蠎 蚞 螞 蟎
mceu 茂 莽 厖 蛖 莾 蝒 蠠 蛨
mci 苗
mcia 蔑 蔓 萌 苜 甍 瞢 蔄 蟃 蘉 蝐 徾 菛 莔 蕄 蔝 芇 薎 蟔 萺 蕒 黴 夢 萬
mcie 蝆
mco 芒
mcoa 螟 蓂
mcoe 蛮 蘑 虻 蘼 蔴 蘪 藦 蠻
mcoo 茫 蜜 蔤 藌 莈 莯
mcou 蒾
mcu 茗
mcua 茆 萠 葂
mcue 莓 軞 芼
mcui 虋
mcuo 藐 薶
md 满
mda 买
mdae 泯 渳 瀰 冺 湣
mdai 湄
mdao 洠
mdau 沒 歿
mde 麻
mdea 汅
mdee 沫 沬
mdei 漠 沐 沔 漭 溤 満 澫 渵 湈 濛 濗 瀎 滿
mdeu 湎 奀 浝 洦 濔 滅
mdi 免
mdia 漫 渺 汨 渑 澷 濹 潣 澠
mdo 溟
mdoa 泌 溕 凕
mdoe 汒 灖 汶
mdoo 淧 滵
mdou 渼 洣
mdu 米
mdua 殁 浼 泖 沵 沕 洺 歾
mdui 淿
mduo 漞
me 面
mee 珉
mei 蓦
meii 莽
meiu 檬
meo 灭
meu 码
mf 摸
mfa 抿
mfaa 拇
mfai 掹
mfao 旀
mfe 描
mfee 抹 抺
mfeu 擟 搣
mfi 摱
mfia 擝 捫
mfo 扪
mfoe 攗 攟 攠 擵
mfu 旄
mfua 捪
mfue 挴
mfuo 掵
mg 魔
mga 寐
mgao 宻 鞪
mge 魅
mgee 冡 靺
mgei 寞 弭 庿 冧 冪 廟
mgeu 庬 彌
mgi 庙
mgia 冥 幂 鼏
mgo 宓
mgoe 髍
mgou 冞
mgu 弥
mgua 鞔 庅
mguo 罙
mguu 鬽
mh 木
mha 万
mhai 煝
mhe 默
mhee 秣
mhei 墨 煤 炑
mheo 灭
mhi 秒
mhia 熳 燘 丏 爅 燜
mhie 馬
mhii 畞
mho 秘
mhoa 熐
mhoe 穈
mhoi 焖
mhu 穆
mhue 秏 黣
mhui 靣
mi 明
mia 瞄
miae 睦
miai 皿
mj 幕
mja 缪
mjaa 鉧
mjae 缗 幦 鈱 鍲 緡
mjai 锰 镅 鎇 錳
mjao 鍪 鉾 繆
mje 缅
mjee 帓
mjei 锚 镆 鎷 鏋 铓 鋩 緢 幪 幭 鑖 縸 凩 幙 錨 鏌
mjeu 覔 帞 銆 緬 靦
mji 帽
mjia 幔 缈 缦 钼 镘 鏝 纆 縵 鍆 緲 鉬
mjo 镁
mjoa 幎 覕 覭
mjoe 釯
mjoi 钔
mjou 銤 鎂
mju 绵
mjua 铭 铆 緍 錉 絻 鉚 銘
mjue 鋂
mjui 絈 鎫 綿
mjuu 覛
mk 吗
mka 哞
mkaa 呣
mke 喵
mkee 呒 唛 冃
mkei 哋 槑 嗼 唒 嘜 嗎
mkeu 哤 喕 冇
mki 黾
mkia 嘿 嘪 嚜
mkie 哶
mko 嘛
mkoe 吂 嚒 嚰 呅 嚤
mkoo 嘧
mkou 咪 咩
mku 鸣
mkue 吀 嘸
mkui 鳴
ml 忙
mla 勐
mlae 惽 麛 怋 刡
mlao 劺 恈
mle 迈
mlea 劢
mlee 怽
mlei 募 懵 遤 慲 恾 懞 懜 懱 慔 勱 邁
mleu 勔 愐
mli 慢
mlia 黙 憫
mliu 竗
mlo 迷
mloa 慏
mloe 耱 爢 戂 劘 懡 忟
mloi 悯
mlou 麋
mlu 勉
mlua 悗
mlue 勄 無
mluo 邈 尨
mm 每
mma 眉
mmaa 杩 栂 檰 矊 麼
mmae 眠 粎
mmai 楣 睸 鄳
mmao 眸 瞀 毪 楙 桙 麰 楘 柕
mmau 朷
mme 模
mmee 氂 眛 枺 眜 粖
mmei 瞒 蓦 瞄 睦 檬 眄 兞 睰 樠 楳 閅 橗 氋 矇 矒 麪 麫 櫗 糢 瞙 氁 榪 瞞 驀
mmeu 粨 駹 糆 麺 檷 麵
mmi 骂
mmia 盟 闽 駡 槾 覒 毷 椚 麿 瞐 閺 杳 閩
mmie 靡
mmiu 眇 杪
mmo 闷
mmoa 瞑 鼆 榓 榠 眿 悶
mmoe 盲 闵 糜 矕 杗 杧 麊 盿 盳 閔
mmoo 樒 櫁
mmou 眯 瞇 眫
mmu 梅
mmua 麽 睌 眀 眳
mmue 枚 敉 枆 眊 毎 橅 粍
mmui 棉 櫋 矈 矏
mmuo 睂 椧
mmuu 閁 眽
mn 妹
mna 妈
mnaa 姆 祃 嬵 牳
mnae 袂 姄
mnai 媚 鹛 鶥
mnao 鴾 鹜 鶩
mne 媒
mnee 祙 妺 犛
mnei 牡 嫫 姥 鹋 鷌 禡 姏 襔 鶜 禖 鹲 媌 嫹 媽 鸏 鶓
mneu 鶆 娏 牻 鸍 媔 袹 禰
mni 妙
mnia 鷶 嫚 媢 媺 嬍 娨
mno 嬷
mnoa 祕 鴓 嫇
mnoe 嫲 犘 牤 孊 嬤
mnou 媄
mnu 牧
mnua 娩 祢 姳
mnue 牦 袮 娒
mnui 婂
mo 门
moa 冥
moe 糜
moi 闵
moia 闽
moo 蜜
mooe 沐
mooi 懵
mou 煤
mp 毛
mpa 篃
mpae 笢
mpe 籋
mpei 皾
mpi 篾
mpia 簚 篎 笽 簢
mpo 笀
mpu 笷
mq 猛
mqa 猕
mqaa 犸
mqae 暋 敯 獼
mqai 猸
mqao 暓
mqau 氖
mqe 猫
mqee 昧 昩
mqei 暮 暪 獴 曚 暯 獏 狇 獁
mqeu 狵
mqi 冒
mqia 曼 獌 冐
mqo 暝
mqoa 猽
mqoe 曫 旻 旼
mqu 冕
mqua 昴 狢 狝
mr 们
mra 侔
mre 命
mree 佅
mrei 傌 儚 儥
mreu 偭
mri 僈
mria 僶 們
mriu 仯
mro 畒
mrou 侎
mru 仫
mrua 俛 佲
ms 目
msa 卖
msaa 码 砪
msae 岷 門 黽
msai 嵋 皿
msao 嵍
mse 蒙
msee 砞
msei 摹 馍 硭 礣 礞 饛 峔 碼 羋 饃
mseu 硥 峚
msi 馒
msia 淼 饅
msie 芈
mso 摩
msoe 磨 饝 礳 畆
msoo 密
msou 嵄 躾
msu 么
msua 峁 崏 碈
msue 牟
mt 埋
mta 坶
mtae 垊
mtai 堳
mtao 堥
mte 墓
mtei 塻
mti 墁
mtia 壾 賣
mto 甿
mtoa 売 塓
mtoe 塺
mtu 耄
mtua 圽
mtue 坆 墲 畮
mu 名
mua 膜
mue 铭
muo 觅
mv 末
mva 胟
mvai 郿 鯭
mvao 雺 霿
mve 陌
mvei 朦 膜 鰢 鄚 腜 鄸 靀 鱙 鱴
mveu 腼 脄
mvi 鳗
mvia 鄤 朙 鰻
mviu 唜
mvo 脉
mvoa 霥 鄍
mvoe 邙 鯍
mvoo 霂
mvou 脒
mvu 霉
mvua 卯 无 霡 霢 鄮 鮸 魩
mvue 鳘 脢 魹 毣 雮 鰵
mvuo 霾
mvuu 脈
mw 敏
mwa 玛
mwaa 氓 玅
mwae 珉 瓕 敃 瑉
mwai 朚 瑂 蝱
mwao 袤 夣
mwe 麦
mwee 韎
mwei 璊 瑪
mwi 亩
mwia 瑁 琝 畝
mwo 玟
mwoa 忞
mwoe 玣
mwu 玫
mwua 琘
mwue 珻 瓾
mwui 亹
mx 梦
mxa 愍
mxao 愗
mxe 慕
mxei 懋 衊 麥
mxi 尛
mxio 彔
mxo 懑
mxoe 縻
mxoo 懣
mxu 衇
mxue 慜
my 美
mya 谬
myao 謬
mye 谋
myei 谟 颟 謩 顢 謨 謀
myi 谩
myia 謾
myiu 訬
myo 谜
myoa 谧 謐
myoe 醾 醿 釄
myou 醚 羙 詸 謎
myu 酩
myua 詺
myue 酶 酕
mz 马
mza 母
mzaa 乜
mzae 屘 罠
mzai 艋 孖
mzao 罞
mze 貊
mzee 跊
mzei 艨 貘 羃 蹒 罵 貓 蹣
mzeu 踎 镾
mzi 孟
mzia 觅 孭 艒 買 覓
mzo 矛
mzoo 臱
mzu 貌
mzua 貉 乮
mzue 踇
mzui 貃
n 你
na 那
nau 奶
nb 疟
nba 疓
nbae 痆
nbe 屰
nbei 齉
nbi 癑
nbia 鬞 齈
nbie 瘧
nbo 鬡
nboe 鬤
nc 耐
nca 赧
ncaa 蒳
ncae 蘗 蚭 苨 辗 輾
ncai 蠥
ncao 螚 蝚
ncau 艿 莻
nce 廿
ncea 蛲
ncee 辇 輦 齧
ncei 蔫 蝻 衖 萳 辳 蟯
nceu 萘 莀
nci 蕽
ncia 軜 莮 齞 農
nco 蠰
ncoe 蘼
ncoo 薴 苧
ncu 孽
ncua 茑 薿 莥
ncue 軠
ncui 蘖 蜺 輗 齯 蔦
ncuo 苶 菍
nd 凝
nda 泥
ndae 溺
ndai 沑
ndau 涊
nde 奈
ndei 渿 湳 灢
ndeu 渜 耎 濔
ndi 涅
ndia 濃
ndie 淖
ndo 浓
ndoe 鬧
ndoo 泞 澝 濘
ndu 淣
ndui 湼
nduo 淰
ne 南
nee 匿
nei 挪
nf 扭
nfa 拟
nfaa 拗 抝
nfae 挪 搦 摨 抳
nfe 挠
nfee 撵 挵 攆
nfei 攮 揇 掿 搑 撓
nfeu 捺 搙
nfi 捏
nfia 抩 擃 抐
nfie 拈 挊
nfo 拧
nfoo 擰
nfu 捻
nfua 擬 撚
nfue 旎 捼
nfui 掜 揑 拰
nfuo 挼
ng 宁
nga 弩
ngai 靵 寱
nge 寕
ngi 靹
ngo 甯
ngoa 寍 寜 寗 寧
nh 囊
nha 秜
nhaa 匘
nhae 疌
nhai 炄
nhao 熋
nhe 虐
nhei 煵
nheo 穤
nheu 煗 稬
nhi 秥
nhia 嚢 馜 燶 穠
nhii 臡 卄
nho 秾
nhu 黏
nhue 秅 秊
nhui 孬
nhuo 焾 煖
ni 内
nia 嗫
niae 喏
nj 纳
nja 纽
njae 铌 鈮 鐞
njai 钮 紐 鈕
njau 钕 釢 帑 釹
nje 铙
njei 镊 锘 銰 鍩 銸 鐃 鑷
njeu 錼 鑈 鎒
nji 钠
njia 繷 鈤 納 鈉
njie 钀
njo 縌
njoo 鑏
nju 镍
njua 鉨 兒
njui 觬 鎳
njuo 镎 錜 鎿
nk 呢
nka 哪
nkai 囝
nkao 囜
nkau 囡 呶
nke 喃
nkee 囓
nkei 匿 嗫 喏 囔 唔 囁
nkeu 嗕
nki 嗯
nkia 呐 吶 噥
nkie 啮 嚙
nko 哝
nkoo 咛 嚀
nku 哖
nkuo 唸 嗱 啂 內
nl 努
nla 忸
nlaa 惱
nlae 怩 麛 迡 愵
nlau 怓
nle 懦
nlei 廼 迺 遖 逽
nleu 耨
nli 憹
nlia 竜
nlo 恼
nloo 悩 懧
nlou 逆
nlu 麑
nluo 惗
nm 闹
nma 驽
nmaa 柪
nmae 柅 眤 梛 榒 糑
nmai 乸 櫱 糱 杻 粈
nmau 籾 籹 駑
nme 楠
nmea 桡
nmee 柰
nmei 欜 枿 槷 糵 橈
nmeo 糯 檽
nmeu 檷 槈 糥
nmi 粘
nmia 枏 柟 檂 欁
nmie 桛
nmo 柠
nmoe 閙 橠
nmoo 橣 矃 檸
nmu 睨
nmua 枬
nmue 黁
nmui 樢 棿 闑
nn 娘
nna 娜
nnae 妮 嫋
nnai 妞 袦
nnao 奴 胬 褦
nnau 奶 奻
nne 嫩
nnee 嫟
nnei 婻 嫰 鹝 鷊
nneu 媆 禰
nni 衲
nnia 嬲 妠 娚 嫐 禯 襛
nnie 婥
nniu 嬭
nno 嬣
nnoe 嬢 孃
nnoo 鸋
nnou 鹢 鷁
nnu 婗
nnua 祢 妳
nnue 鵇 姩
nnui 嬝 鶂
nnuo 娞
no 农
noa 谑
noo 溺
nou 逆
np 牛
npa 鸟
npaa 儿
npau 笯
npe 籋
npei 簐
npi 屔
npia 笝 鳥
npo 篞
nq 暖
nqa 昵
nqae 狔
nqai 狃 峱 孴
nqao 猱
nqau 氖
nqe 暱
nqee 狋
nqei 暔 圼
nqeo 獳
nqeu 獶 獿
nqi 氝
nqo 狞
nqoe 曩
nqoo 獰
nqu 猊
nqui 晲
nr 拿
nra 傩
nrae 伲
nrau 伮
nre 佞
nrei 佴 儾 搻 儺
nreu 倷 儞 伖 傉 偄
nri 仦
nria 侽 儂
nro 侬
nroe 侫
nroo 儜
nru 倪
nrua 儗
nruo 伱
ns 能
nsa 碾
nsaa 碯
nsau 拏 挐 砮
nse 馕
